Sorting time: 33.34469127655029
         154036912 function calls (154029087 primitive calls) in 51.176 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17406   20.616    0.001   33.269    0.002 {method 'sort' of 'list' objects}
151110420   12.653    0.000   12.653    0.000 plot_gtex.py:146(<lambda>)
    45893    7.562    0.000    7.562    0.000 {method 'split' of 'str' objects}
   101388    3.873    0.000    3.873    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    2.666    2.666   50.574   50.574 plot_gtex.py:75(main)
   101389    0.888    0.000    0.888    0.000 {built-in method zlib.crc32}
   101447    0.322    0.000    0.322    0.000 {method 'read' of '_io.BufferedReader' objects}
   101388    0.304    0.000    6.162    0.000 _compression.py:66(readinto)
   101388    0.282    0.000    5.777    0.000 gzip.py:438(read)
   101447    0.200    0.000    0.522    0.000 gzip.py:80(read)
    45904    0.182    0.000    0.186    0.000 plot_gtex.py:58(binary_search)
   101388    0.174    0.000    6.336    0.000 {method 'read1' of '_io.BufferedReader' objects}
   102893    0.148    0.000    0.148    0.000 {built-in method _codecs.utf_8_decode}
   101388    0.105    0.000    6.501    0.000 gzip.py:278(read1)
   101388    0.097    0.000    0.995    0.000 gzip.py:489(_add_read_data)
      276    0.092    0.000    0.092    0.000 {built-in method marshal.loads}
   102893    0.088    0.000    0.236    0.000 codecs.py:319(decode)
739643/738692    0.088    0.000    0.088    0.000 {built-in method builtins.len}
   101388    0.080    0.000    0.095    0.000 gzip.py:93(prepend)
        1    0.067    0.067    0.067    0.067 plot_gtex.py:128(<listcomp>)
    49/47    0.066    0.001    0.069    0.001 {built-in method _imp.create_dynamic}
    23979    0.063    0.000    0.063    0.000 {method 'rstrip' of 'str' objects}
   101389    0.042    0.000    0.061    0.000 _compression.py:12(_check_not_closed)
   101390    0.041    0.000    0.041    0.000 {method 'cast' of 'memoryview' objects}
   118589    0.029    0.000    0.029    0.000 gzip.py:298(closed)
      317    0.027    0.000    0.027    0.000 {built-in method builtins.compile}
     2472    0.025    0.000    0.045    0.000 inspect.py:613(cleandoc)
1147/1053    0.022    0.000    0.074    0.000 {built-in method builtins.__build_class__}
   130483    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
     1377    0.011    0.000    0.011    0.000 {built-in method posix.stat}
  452/183    0.011    0.000    0.027    0.000 sre_parse.py:475(_parse)
      276    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
      599    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    31928    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
      691    0.006    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      638    0.005    0.000    0.016    0.000 inspect.py:2117(_signature_from_function)
      276    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    21012    0.005    0.000    0.005    0.000 {built-in method builtins.min}
  907/176    0.005    0.000    0.012    0.000 sre_compile.py:71(_compile)
    27996    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
    12043    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
      588    0.004    0.000    0.021    0.000 inspect.py:1089(getfullargspec)
    627/1    0.004    0.000   51.177   51.177 {built-in method builtins.exec}
    28551    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
      681    0.004    0.000    0.005    0.000 inspect.py:2750(__init__)
     5662    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
7068/7064    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     2487    0.004    0.000    0.055    0.000 re.py:271(_compile)
    20173    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       12    0.003    0.000    0.036    0.003 artist.py:1277(_get_setters_and_targets)
     1953    0.003    0.000    0.005    0.000 inspect.py:2467(__init__)
       27    0.003    0.000    0.018    0.001 __init__.py:908(_rc_params_in_file)
      627    0.003    0.000    0.006    0.000 functools.py:37(update_wrapper)
      276    0.003    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:793(get_code)
 1095/365    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
     6089    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     3114    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      346    0.003    0.000    0.038    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      321    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      614    0.003    0.000    0.003    0.000 _inspect.py:67(getargs)
     4893    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
      906    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     3114    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      682    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    358/1    0.002    0.000    0.604    0.604 <frozen importlib._bootstrap>:978(_find_and_load)
      641    0.002    0.000    0.019    0.000 inspect.py:2198(_signature_from_callable)
    49/43    0.002    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
      552    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     2246    0.002    0.000    0.041    0.000 inspect.py:594(getdoc)
      227    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
      373    0.002    0.000    0.005    0.000 colors.py:185(_to_rgba_no_colorcycle)
     1792    0.002    0.000    0.021    0.000 __init__.py:774(__setitem__)
    10741    0.002    0.000    0.003    0.000 mathtext.py:2839(<genexpr>)
     2485    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
    331/1    0.002    0.000    0.603    0.603 <frozen importlib._bootstrap>:663(_load_unlocked)
       26    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     1514    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1300    0.002    0.000    0.006    0.000 {built-in method builtins.any}
      330    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      287    0.002    0.000    0.008    0.000 overrides.py:72(verify_matching_signatures)
      317    0.002    0.000    0.055    0.000 overrides.py:154(decorator)
      682    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       32    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
     2191    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55fe357943c0}
      341    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     4019    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
    352/1    0.002    0.000    0.603    0.603 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      682    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
 1366/275    0.002    0.000    0.443    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  404/176    0.002    0.000    0.028    0.000 sre_parse.py:417(_parse_sub)
     2325    0.002    0.000    0.005    0.000 enum.py:284(__call__)
      321    0.002    0.000    0.012    0.000 textwrap.py:414(dedent)
      408    0.002    0.000    0.032    0.000 artist.py:1241(get_valid_values)
        1    0.001    0.001    0.002    0.002 six.py:21(<module>)
       64    0.001    0.000    0.010    0.000 colors.py:729(from_list)
       60    0.001    0.000    0.003    0.000 function_base.py:37(linspace)
     1045    0.001    0.000    0.008    0.000 colors.py:149(to_rgba)
     3381    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     3788    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      522    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      325    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     5998    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       12    0.001    0.000    0.003    0.000 enum.py:135(__new__)
     1387    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      176    0.001    0.000    0.049    0.000 sre_compile.py:759(compile)
     1614    0.001    0.000    0.027    0.000 artist.py:1319(is_alias)
      410    0.001    0.000    0.004    0.000 copy.py:66(copy)
       12    0.001    0.000    0.022    0.002 artist.py:1213(get_aliases)
      618    0.001    0.000    0.005    0.000 _inspect.py:98(getargspec)
     1777    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    276/1    0.001    0.000    0.603    0.603 <frozen importlib._bootstrap_external>:722(exec_module)
       31    0.001    0.000    0.001    0.000 {built-in method io.open}
     2783    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      176    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
        1    0.001    0.001    0.045    0.045 backend_qt5.py:1(<module>)
      276    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3838    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      276    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       16    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
      233    0.001    0.000    0.001    0.000 pyparsing.py:1386(__init__)
      176    0.001    0.000    0.030    0.000 sre_parse.py:919(parse)
      325    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
  330/327    0.001    0.000    0.079    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1633(_parseNoCache)
     2548    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     2512    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
       12    0.001    0.000    0.346    0.029 __init__.py:1(<module>)
       12    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      273    0.001    0.000    0.004    0.000 function_base.py:441(add_newdoc)
      114    0.001    0.000    0.004    0.000 deprecation.py:183(deprecate)
     1954    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     1519    0.001    0.000    0.004    0.000 re.py:170(match)
       72    0.001    0.000    0.010    0.000 __init__.py:1525(_preprocess_data)
  495/315    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1536    0.001    0.000    0.003    0.000 colors.py:115(_is_nth_color)
       11    0.001    0.000    0.067    0.006 artist.py:1349(pprint_setters)
       12    0.001    0.000    0.002    0.000 artist.py:1224(<listcomp>)
      276    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1324    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
   362/31    0.001    0.000    0.443    0.014 {built-in method builtins.__import__}
     2317    0.001    0.000    0.001    0.000 enum.py:526(__new__)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
     1320    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      608    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      492    0.001    0.000    0.006    0.000 rcsetup.py:374(validate_color)
      129    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
     2050    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1260    0.001    0.000    0.001    0.000 colors.py:249(<genexpr>)
      325    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      449    0.001    0.000    0.001    0.000 artist.py:1301(_replace_path)
      410    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
